# DC;Descritivo DC;# UN;Descritivo UN;# CAT;Descritivo CAT;# SCAT;Descritivo SCAT;# UB;Descritivo UB
10;Alimentar;10;Bens Essenciais;1000;Movimentos À Un 10;00;Movimentos À Secção;00;Movimentos À Secção
10;Alimentar;10;Bens Essenciais;1000;Movimentos À Un 10;99;Outros Movimentos;99;Outros Movimentos
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;01;Óleos;01;Alimentar
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;01;Óleos;02;Girassol
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;01;Óleos;03;Amendoím
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;01;Óleos;04;Outros Óleos
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;01;Óleos;05;Óleos Saudáveis
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;02;Azeite;01;Azeite
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;02;Azeite;02;Azeite Virgem
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;02;Azeite;03;Azeite Virgem Extra
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;02;Azeite;04;Azeites Premium
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;02;Azeite;05;Azeite Dop
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;02;Azeite;06;Outros Azeites
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;02;Azeite;07;Lixo
10;Alimentar;10;Bens Essenciais;1001;Gorduras Liquidas;95;Swf-Gord. Liquidas;95;Swf-Gord. Liquidas
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;01;Arroz;01;Carolino
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;01;Arroz;02;Agulha
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;01;Arroz;03;Vaporizado
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;01;Arroz;04;Basmati
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;01;Arroz;05;Thai
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;01;Arroz;06;Risotto
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;01;Arroz;07;Lixo
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;01;Arroz;08;Outros Arroz
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;02;Açúcar;01;Branco
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;02;Açúcar;02;Amarelo/Mascavado
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;02;Açúcar;03;Edulcorante
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;02;Açúcar;04;Outros Açúcar
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;03;Legumes Secos;01;Feijão
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;03;Legumes Secos;02;Grão
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;03;Legumes Secos;03;Outros Legumes Secos
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;04;Massas;01;Esparguete
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;04;Massas;02;Meadas
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;04;Massas;03;Espirais
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;04;Massas;04;Cotovelos
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;04;Massas;05;Macarrão
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;04;Massas;06;Outras Cortadas
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;04;Massas;07;Massinhas
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;04;Massas;08;Italianas
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;04;Massas;09;Regionais
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;04;Massas;10;Importadas
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;04;Massas;11;Lixo
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;04;Massas;12;Outras Massas
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;05;Farináceos;01;Farinha Trigo
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;05;Farináceos;02;Farinha Milho
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;05;Farináceos;03;Farinhas Para Pão
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;05;Farináceos;04;Mandioca
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;05;Farináceos;05;Puré Batata
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;05;Farináceos;06;Farinhas Regionais
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;05;Farináceos;07;Étnicos
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;05;Farináceos;08;Lixo
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;05;Farináceos;09;Pão Ralado
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;05;Farináceos;10;Outros Farináceos
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;06;Prod Integ E Semente;01;Sementes
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;06;Prod Integ E Semente;02;Massa Integral
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;06;Prod Integ E Semente;03;Arroz Integral
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;06;Prod Integ E Semente;04;Farinha Integral
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;06;Prod Integ E Semente;05;Outros Integ. E Seme
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;07;Coz. Mundo Ingbasico;01;Cm Arroz
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;07;Coz. Mundo Ingbasico;02;Cm Acucar
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;07;Coz. Mundo Ingbasico;03;Cm Legumes Secos
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;07;Coz. Mundo Ingbasico;04;Cm Massas 
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;07;Coz. Mundo Ingbasico;05;Cm Farinaceos
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;07;Coz. Mundo Ingbasico;06;Cm Outros Ing Basic
10;Alimentar;10;Bens Essenciais;1002;Ingredientes Básicos;08;Ingbasico Saudáveis;02;Açucar Saudável
